date,views,uniques,views_7d,uniques_7d
2026-06-19,6,1,22,7
2026-06-20,1,1,23,8
2026-06-21,0,0,23,8
2026-06-22,2,2,23,8
2026-06-23,0,0,22,8
2026-06-24,0,0,20,7
2026-06-25,0,0,12,6
2026-06-26,5,1,17,7
2026-06-27,3,1,19,7
2026-06-28,0,0,19,7
2026-06-29,0,0,19,7
2026-06-30,4,3,22,9
2026-07-01,0,0,21,8
2026-07-02,0,0,21,8
2026-07-03,0,0,15,8
2026-07-04,1,1,15,8
2026-07-05,0,0,15,8
2026-07-06,0,0,13,6
2026-07-07,0,0,13,6
2026-07-08,0,0,13,6
2026-07-09,0,0,13,6
2026-07-10,0,0,8,5
2026-07-11,0,0,5,4
2026-07-12,0,0,5,4
2026-07-13,0,0,5,4
2026-07-14,0,0,1,1
2026-07-15,1,1,2,2
2026-07-16,0,0,2,2
2026-07-17,0,0,2,2
2026-07-18,9,1,10,2
2026-07-19,0,0,10,2
2026-07-20,3,3,13,4
2026-07-21,1,1,14,5
