date,views,uniques,views_7d,uniques_7d
2026-06-21,0,0,0,0
2026-06-22,64,28,103,29
2026-06-23,81,29,184,56
2026-06-24,15,13,199,67
2026-06-25,28,8,227,74
2026-06-26,10,4,237,77
2026-06-27,25,6,262,82
2026-06-28,9,3,271,84
2026-06-29,10,5,281,88
2026-06-30,13,8,294,95
2026-07-01,5,3,299,97
2026-07-02,4,1,303,97
2026-07-03,0,0,303,97
2026-07-04,3,2,306,99
2026-07-05,0,0,267,98
2026-07-06,2,1,205,73
2026-07-07,0,0,124,45
2026-07-08,14,4,123,37
2026-07-09,38,11,133,39
2026-07-10,19,7,142,40
2026-07-11,5,3,122,37
2026-07-12,1,1,114,36
2026-07-13,4,3,108,34
2026-07-14,0,0,95,27
2026-07-15,7,1,97,25
2026-07-16,8,2,101,26
2026-07-17,2,1,103,26
2026-07-18,4,4,104,27
